#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-38539.555438552765,7427.049949742427,-31112.505488810337,296.8656658276777,40.377904990447654,0
10000,-38639.01819362466,7696.664524218296,-30942.353669406362,307.6423955804378,36.81980766516437,770
15000,-39262.98564317002,7475.813623808402,-31787.172019361617,298.8147924213801,32.72490168765814,765
20000,-39922.931432122256,7551.526869254287,-32371.404562867967,301.8411168938642,30.529161469167374,763
25000,-40573.08706079563,7505.268826855916,-33067.81823393972,299.99214258382153,30.179309459554254,760
30000,-40107.44057489174,7455.1532626292465,-32652.287312262495,297.98897976101114,30.55411846808427,756
35000,-40195.498982809964,7603.782529041618,-32591.716453768346,303.9298212032473,30.59773991259119,757
40000,-40245.12019736675,7537.600847112925,-32707.519350253824,301.2844816398533,30.45153186908236,758
45000,-39816.992864327694,7414.859557222436,-32402.133307105258,296.37840520379115,30.35596923879148,759
50000,-39530.23211589654,7293.752071685109,-32236.480044211436,291.537633353051,30.771354515570582,758
55000,-40146.00004056809,7406.57412144951,-32739.42591911858,296.0472291077576,30.258261580857788,758
60000,-40139.98486300924,7446.32497182935,-32693.659891179886,297.63610527596444,30.11692590663288,759
65000,-39916.973709616854,7424.940431599151,-32492.0332780177,296.7813465471535,30.364015858954506,759
70000,-39678.27838995993,7533.341305273728,-32144.937084686204,301.1142240365288,30.730283067973744,759
75000,-40171.91800390089,7126.785818516,-33045.13218538489,284.86384655301487,30.700392504061934,759
80000,-39640.61549090751,7486.605701187424,-32154.00978972009,299.2461611691961,30.513603032126724,760
85000,-40049.64649816056,7320.650229187279,-32728.996268973282,292.612776174286,30.255625601500192,760
90000,-40302.58118130375,7366.485634784262,-32936.095546519486,294.4448573226701,30.197974896673067,758
95000,-40382.36588455261,7497.068202814182,-32885.297681738426,299.66435648667317,30.221963019662933,757
100000,-40293.94621881458,7536.962059103457,-32756.98415971112,301.2589487258381,30.387961854027065,755
