#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
350500,-40122.63908249195,7514.239508275811,-32608.39957421614,300.3507085461708,30.428375441175803,0
351000,-39957.86960035637,7706.885823734821,-32250.983776621546,308.05094983914483,30.50188845803628,528
351500,-39841.3449993869,7379.503473854305,-32461.841525532596,294.9651917070241,30.73052860048997,571
352000,-40112.819503742765,7418.174580866717,-32694.644922876047,296.5109095908699,30.542694822455136,599
352500,-40117.075250872884,7401.602288846806,-32715.472962026077,295.8485006212154,30.542694822455136,615
353000,-39680.21390555168,7410.752587931021,-32269.461317620662,296.2142460583054,30.766412776066694,623
353500,-40073.52497852225,7675.866932259195,-32397.65804626305,306.8110976860746,30.45614237839636,620
354000,-39746.320551788194,7264.092137324954,-32482.22841446324,290.3520999014363,30.59597475796988,621
354500,-39730.815877436595,7411.703415487561,-32319.112461949033,296.25225146523945,30.59597475796988,615
355000,-39723.737503742734,7333.523953216719,-32390.213550526016,293.1273501547416,30.379040621868814,614
355500,-39859.000268681695,7587.782901655809,-32271.217367025885,303.29030213860875,30.351412987447937,610
356000,-40096.33659024299,7469.464179783415,-32626.87241045957,298.56099960446517,30.280306922469915,606
356500,-40053.50021701458,7547.964598285704,-32505.535618728878,301.6987298155352,30.554548529791756,605
357000,-40317.8210901675,7459.11629644997,-32858.70479371753,298.1473856801644,30.55782880743057,609
357500,-39915.83940528765,7332.936249601734,-32582.90315568591,293.10385912853974,30.461616486126598,613
358000,-40190.748455140805,7364.87959726253,-32825.868857878275,294.380662601824,30.43080211285083,615
358500,-40292.60691046284,7587.950022095526,-32704.656888367314,303.29698208837965,30.099765397122436,618
359000,-39706.505880997785,7555.20545148584,-32151.300429511946,301.98815303484366,30.594371610886,620
359500,-39603.77821653972,7485.574072192177,-32118.204144347546,299.204926058266,30.56313559565125,622
360000,-39717.30775476876,7416.397039661903,-32300.910715106853,296.43985971819177,30.55183232413801,624
360500,-39929.7253371538,7519.339449465202,-32410.3858876886,300.5545576446844,30.53996643622069,626
361000,-40113.124889606384,7546.759493273964,-32566.36539633242,301.65056071688593,30.857108773563784,627
361500,-39779.08276075225,7549.016160596399,-32230.066600155853,301.7407616784735,31.02076493204922,629
362000,-40003.877513095875,7866.885439296258,-32136.992073799618,314.4462740563282,30.50266275566081,631
362500,-39980.86978781056,7577.803209474318,-32403.066578336242,302.8914051358605,30.534334295735594,627
363000,-39937.40565443946,7595.274116553309,-32342.131537886155,303.58973253337564,30.776213799424674,628
363500,-40108.98696619766,7542.90912898425,-32566.077837213412,301.4966582971796,30.776213799424674,630
364000,-39866.312696771995,7639.751064966771,-32226.561631805223,305.36751496302037,30.400986798987386,629
364500,-39809.59369761681,7677.847895502594,-32131.745802114216,306.8902785150998,30.428380206010093,631
365000,-39863.512799545286,7373.521519351249,-32489.991280194037,294.7260877668975,30.525337240387294,632
365500,-39996.77917666647,7498.851166785142,-32497.928009881325,299.73562311204495,30.580968809999042,633
366000,-40116.630551740935,7342.609353257085,-32774.02119848385,293.49050152043117,30.437729743665034,634
366500,-40253.841558609376,7553.720767084956,-32700.12079152442,301.928808904106,30.08993985192886,635
367000,-40161.09100874243,7353.29642979404,-32807.794578948386,293.91767329298733,30.371215611954675,636
367500,-40184.0871676839,7300.756465044983,-32883.330702638916,291.8176050662572,30.25873150645702,637
368000,-40406.55258024553,7443.3866217716695,-32963.16595847386,297.518656860751,30.056645264430593,637
368500,-40413.58063619813,7509.755491725093,-32903.82514447304,300.17147849279576,29.969709735135755,638
369000,-40109.1494270793,7573.666090958096,-32535.4833361212,302.7260408995571,30.543579861568706,638
369500,-39776.456380942276,7334.718600843655,-32441.73778009862,293.17510126259725,30.543579861568706,639
370000,-39868.19885848566,7418.103877647569,-32450.09498083809,296.50808352151927,30.300549823120573,639
370500,-40217.70176174317,7395.44117379536,-32822.26058794781,295.60223547767043,30.106448799206646,637
371000,-40056.28852276649,7570.3357549393195,-32485.95276782717,302.59292446351134,30.218598307122292,638
371500,-40142.48100587022,7630.554770619733,-32511.92623525049,304.9999310551492,30.37635720093043,638
372000,-40071.61108759986,7584.207719606891,-32487.403367992963,303.14739899313525,30.384111342972272,639
372500,-40135.66307979624,7349.055632709543,-32786.6074470867,293.74816493386106,30.010283505536055,640
373000,-40139.267811341015,7395.301190099927,-32743.96662124109,295.5966402072427,30.133095457879726,640
373500,-40474.67377669664,7396.530679198934,-33078.143097497705,295.6457839591326,30.133095457879726,638
374000,-40239.817687767085,7325.9592725889825,-32913.8584151781,292.8249832706459,30.46036639956482,637
374500,-40288.69787016076,7226.884978001078,-33061.81289215968,288.8648972838449,30.41145330466802,638
375000,-40022.33221536917,7304.511243539448,-32717.820971829722,291.9676868383387,30.15178602380183,637
375500,-40396.09065678531,7276.855092871807,-33119.235563913506,290.86224636900874,30.15178602380183,637
376000,-40375.07299062446,7313.07677200581,-33061.996218618646,292.3100584836809,30.062904234533764,638
376500,-40335.76238405113,7439.5725900861735,-32896.18979396496,297.3662066869317,30.05455170811858,638
377000,-40094.1147287916,7635.46813680359,-32458.646591988014,305.1963225879241,30.381582948067955,638
377500,-39949.61620402303,7590.710828708463,-32358.905375314564,303.40733393721825,30.644987088183658,638
378000,-40065.78655661342,7539.105217157399,-32526.681339456023,301.34461262293894,30.529320088594478,639
378500,-39886.89734850454,7402.515608184456,-32484.38174032009,295.88500679191833,30.68925024475211,639
379000,-40125.468342906854,7670.1714779923805,-32455.296864914475,306.58344541033256,30.40209093908471,637
379500,-39886.897252261755,7643.022070138114,-32243.87518212364,305.4982598933342,30.6476470608435,637
380000,-39857.292407432964,7566.794026966864,-32290.4983804661,302.4513585066593,30.32817812180228,637
380500,-39999.42391224239,7608.399542727204,-32391.024369515188,304.1143672681293,30.32817812180228,636
381000,-39789.399317584175,7586.357925805982,-32203.04139177819,303.2333446107464,30.32817812180228,636
381500,-39890.740162751754,7148.251985184225,-32742.488177567528,285.72186796176425,30.21958979941631,635
382000,-40196.0167654216,7451.571747178604,-32744.445018242994,297.8458234639454,29.932051613947404,635
382500,-40035.32711492927,7421.000903068285,-32614.326211860985,296.62388015494173,30.33387934287112,634
383000,-39859.59779898629,7383.681979094166,-32475.91581989212,295.132210206777,30.49017419641486,633
383500,-39726.53964872154,7336.461988506677,-32390.07766021486,293.2447859884145,30.351162418008503,633
384000,-40146.75805044744,7431.466747429902,-32715.291303017537,297.0422090844473,30.56648407312582,632
384500,-40246.35715433508,7269.894264398053,-32976.46288993702,290.5840159823066,30.366938593262468,632
385000,-40428.021473857334,7485.905603906987,-32942.11586995034,299.21817767013425,30.36366822139663,632
385500,-39954.54734024529,7273.005138451762,-32681.54220179353,290.70836033215073,30.44958294022703,631
386000,-39905.03239348064,7345.711489347572,-32559.320904133063,293.6144966062623,30.624201041030915,632
386500,-40090.64335533123,7441.312248457032,-32649.331106874197,297.43574234968776,30.568353441425923,631
387000,-39889.620596091874,7359.506451055856,-32530.11414503602,294.16589326042634,30.62179098327479,630
387500,-39958.28042309402,7525.166516180904,-32433.113906913113,300.7874705848268,30.484570293989453,630
388000,-40040.285875229034,7614.504248566312,-32425.781626662723,304.35837768624583,30.586965474895766,630
388500,-40271.091971769965,7415.362957917973,-32855.72901385199,296.39852656875706,30.37468096063726,630
389000,-40215.13217454504,7446.160074178138,-32768.972100366904,297.6295141729892,30.375477541441313,630
389500,-39898.215470062176,7554.681223435227,-32343.53424662695,301.96719918232566,30.300937486935855,630
390000,-39969.187094468616,7313.435575013167,-32655.75151945545,292.3244001529037,30.587103445368452,631
390500,-39799.25635926626,7410.571160642252,-32388.68519862401,296.20699425129663,30.587103445368452,631
391000,-39900.240525710855,7597.956792005802,-32302.28373370505,303.6969614115699,30.337996559701573,631
391500,-39768.51116834017,7506.246700126238,-32262.264468213933,300.03122903153,30.42070133684944,632
392000,-40348.51986870365,7599.05508312829,-32749.464785575365,303.7408610658817,30.31585597277698,632
392500,-39834.73010926995,7558.659453419213,-32276.070655850737,302.12621250538166,30.12254003998525,632
393000,-40273.588733063785,7502.001959304901,-32771.586773758885,299.86156303780183,30.325109382257136,633
393500,-40220.52254970591,7410.4568518758715,-32810.06569783004,296.20242523018175,30.563994977005326,633
394000,-40119.55899649633,7323.087100291182,-32796.47189620515,292.71018003822815,30.513009988054968,632
394500,-40210.37594159522,7289.724169644103,-32920.65177195112,291.3766345945421,30.364536223976042,632
395000,-40287.9941437248,7222.371072249311,-33065.623071475486,288.6844725330287,30.2188198167385,632
395500,-40286.27193352994,7290.856049906491,-32995.41588362345,291.42187683607875,30.01627373035902,633
396000,-40262.128809653295,7364.700745035998,-32897.4280646173,294.3735137222994,29.78460247338434,633
396500,-40376.42884476296,7656.973401701405,-32719.455443061554,306.05590678701947,29.981572929012746,633
397000,-39911.819183684915,7452.998248411263,-32458.820935273652,297.9028419626903,30.01550496140528,634
397500,-39922.53994461314,7334.199911244063,-32588.34003336908,293.15436878679833,29.772499522592867,634
398000,-40127.99274139501,7293.662572129238,-32834.33016926578,291.53405597772365,29.88181597394246,634
398500,-39954.45835456643,7600.091257653989,-32354.36709691244,303.78227786562945,29.941752152958387,634
399000,-40108.24014995181,7574.43247477014,-32533.80767518167,302.75667392911555,30.043609843092767,634
399500,-40047.06342669656,7288.144017098038,-32758.91940959852,291.31347451875547,30.283842471381455,634
400000,-40114.89739292846,7398.860628700328,-32716.036764228134,295.7389140733444,30.600947756630546,634
400500,-40076.61828690383,7653.294058811025,-32423.324228092806,305.90884024184305,30.679326298901653,635
401000,-40022.0907629992,7496.1728498488565,-32525.917913150344,299.62856844754583,30.413645933086002,635
401500,-39928.02110493738,7467.148171329789,-32460.872933607592,298.4684267260948,30.34923515690833,635
402000,-40189.232712777826,7439.631372500274,-32749.601340277553,297.3685562713049,29.93010843659243,635
402500,-40132.13518418209,7531.581040138383,-32600.554144043705,301.043864703419,29.93010843659243,635
403000,-39941.82247698125,7448.717296749863,-32493.10518023139,297.7317285900945,29.820295057717964,635
403500,-40397.38701009769,7357.344760821032,-33040.04224927666,294.07948861588824,30.026724959098836,635
404000,-40186.979400483666,7433.819702405008,-32753.159698078656,297.1362587475133,30.262455225097828,635
404500,-40045.57712810612,7481.558500556971,-32564.018627549147,299.044420156834,30.052569623094552,634
405000,-40186.584714019096,7571.423760345231,-32615.160953673865,302.6364129887583,30.02888308020528,635
405500,-40023.094024937505,7319.790191677835,-32703.30383325967,292.57839972473926,29.99278876630279,634
406000,-40219.57369565409,7490.501017164952,-32729.07267848914,299.40186034708006,29.885549158193484,634
406500,-40217.098477356645,7476.641483714163,-32740.45699364248,298.8478827040359,29.889582407768394,634
407000,-40264.534774804495,7429.253922548945,-32835.28085225555,296.95376054349356,30.17232316195571,634
407500,-39987.59388412885,7325.973202561885,-32661.620681566965,292.82554006381525,30.56879279284778,634
408000,-40016.49294261849,7467.064761655414,-32549.428180963077,298.4650927686437,30.523301535015673,634
408500,-40081.54928900812,7326.284115426812,-32755.265173581312,292.83796752226584,30.94436761625264,634
409000,-40058.62372646325,7655.881182790397,-32402.74254367285,306.01224984429786,30.59159019562715,634
409500,-39911.64060483601,7533.095645707589,-32378.54495912842,301.10440480935756,30.298739646544437,634
410000,-39925.928329748676,7596.0942960881885,-32329.83403366049,303.622515824907,30.177676137018853,634
410500,-40292.58227149117,7506.947435774505,-32785.634835716664,300.05923804671096,30.22873483460284,633
411000,-39966.16007896322,7416.243089075522,-32549.9169898877,296.4337061789481,30.39026429456089,634
411500,-39812.79772031636,7342.4376743470675,-32470.360045969293,293.4836393646256,30.511840243855175,634
412000,-40000.14138774937,7487.531971730969,-32512.6094160184,299.2831850108973,30.62812184639358,634
412500,-40138.23118487818,7458.56467434254,-32679.666510535644,298.125336863297,30.62812184639358,634
