#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
445500,9.36020034027554,35.36598662578173,44.72618696605727,472.61672221025805,8.0,0
446000,-0.5137748994831712,16.596800809970947,16.083025910487777,221.79292439891438,8.0,692
446500,6.960040578750505,16.103023733794075,23.06306431254458,215.19428753025838,8.0,668
447000,10.937163240227651,31.45139323304213,42.38855647326978,420.3036815014261,8.0,662
447500,8.99971044771371,23.0686167536993,32.06832720141301,308.2796516161668,8.0,665
448000,11.380166198101504,30.027217834235344,41.40738403233685,401.27157825604775,8.0,667
448500,7.603213831476031,22.252204125482827,29.85541795695886,297.3694438959205,8.0,675
449000,12.100518853385555,21.584427639540003,33.68494649292556,288.44554938408726,8.0,669
449500,8.95136666570044,13.886172202171107,22.837538867871547,185.5691814759952,8.0,672
450000,21.62423943314826,20.302430279105522,41.92666971225378,271.31345586208573,8.0,671
450500,13.975457035337746,10.155170949569632,24.130627984907377,135.70959177402406,8.0,671
451000,27.838235367802092,16.5049923677159,44.34322773551799,220.56603355860122,8.0,667
451500,11.358264744066265,30.801058763634806,42.159323507701075,411.61287503463944,8.0,668
452000,14.924223467598603,19.715088161530037,34.63931162912864,263.46445367357626,8.0,666
452500,15.396082222388893,33.57028918561868,48.96637140800757,448.61974886885747,8.0,665
453000,20.97849090258221,28.01405966801729,48.9925505705995,374.3685478422098,8.0,663
453500,24.542691124527757,38.15043614961837,62.69312727414613,509.8269779579725,8.0,661
454000,9.189564772881942,10.776660316924229,19.966225089806173,144.01492397910755,8.0,662
454500,13.2340139860466,23.210953599424116,36.444967585470714,310.1817835766864,8.0,662
455000,21.827125784179856,25.471276289594098,47.29840207377396,340.3878205881591,8.0,664
455500,10.360040810838038,28.247758736848994,38.60779954768703,377.4916075510633,8.0,664
456000,15.403409941124718,25.483655901754297,40.88706584287901,340.5532567113838,8.0,662
456500,24.49131575301857,23.72498224756539,48.21629800058396,317.0510542512842,8.0,659
457000,13.298307852171478,19.978911692055398,33.277219544226874,266.99008448823975,8.0,659
457500,12.844889922578355,25.110164364662683,37.95505428724104,335.56206707199095,8.0,656
458000,10.20005132289884,27.35725110141008,37.557302424308915,365.5912241624224,8.0,657
458500,11.070916670034904,25.396396538336667,36.46731320837157,339.38715791829856,8.0,656
459000,5.193296814316588,16.546157138410265,21.739453952726855,221.116142882624,8.0,656
459500,14.377862076482176,22.231597986815633,36.60946006329781,297.0940718041604,8.0,656
460000,8.126469421098564,17.734841607276024,25.861311028374587,237.0012407129792,8.0,658
460500,22.389551199217593,12.268869351020177,34.65842055023777,163.956201173191,8.0,657
461000,23.06153894410583,19.360680747342958,42.42221969144879,258.7282965237004,8.0,656
461500,17.252296168740394,47.047532205065394,64.29982837380578,628.7241663613016,8.0,658
462000,5.045347054088439,30.243522413239056,35.288869467327494,404.16218504752567,8.0,658
462500,8.94773197003045,29.870740186641374,38.818472156671824,399.18047434630637,8.0,656
463000,19.32122651208732,8.434812069268574,27.756038581355895,112.7194124348601,8.0,656
463500,8.869600208289773,23.704528802725747,32.57412901101552,316.7777226979953,8.0,656
464000,8.172607634698696,32.20944419560229,40.38205183030098,430.43396755803894,8.0,656
464500,24.362413802249726,18.32014739254395,42.68256119479368,244.8230301812354,8.0,658
465000,7.793575197066813,39.99381682356797,47.78739202063478,534.461170724213,8.0,659
465500,10.938486263185048,19.03194288909224,29.970429152277287,254.33517692330977,8.0,660
466000,17.236269663650052,31.102271853994193,48.338541517644245,415.6381647843306,8.0,660
466500,21.46297729530167,25.63060659848034,47.09358389378201,342.5170463080961,8.0,661
467000,24.102012490105942,27.89909513756495,52.00110762767089,372.8322084173338,8.0,659
467500,28.693292803589436,36.79571193993189,65.48900474352132,491.72299227659596,8.0,655
468000,7.726469031274583,19.010456692997305,26.736925724271888,254.04804410050446,8.0,652
468500,16.032407498094205,16.300229922773475,32.332637420867684,217.82967117220878,8.0,653
469000,16.725025679847715,15.114245465675541,31.839271145523256,201.98065520562682,8.0,654
469500,1.2108029749204303,22.226920826949048,23.437723801869478,297.03156813393093,8.0,655
470000,14.365045297996229,20.125724880646075,34.49077017864231,268.9520364819212,8.0,656
470500,18.018350697069202,32.481201640795135,50.49955233786434,434.06562399512103,8.0,657
471000,13.922011120700398,33.21159830884784,47.13360942954824,443.82634925979426,8.0,657
471500,29.948036203194228,14.996310867329536,44.94434707052376,200.40462499628325,8.0,658
472000,15.0199707009464,32.59639235016017,47.616363051106575,435.6049859833849,8.0,658
472500,16.096309287857803,12.738316043738696,28.8346253315965,170.22969665099936,8.0,658
473000,5.247024444060389,21.825390609264314,27.072415053324704,291.6656809226241,8.0,658
473500,7.090209530447798,27.201243093458842,34.29145262390664,363.50639632666474,8.0,659
474000,8.700075487337545,28.42329283076054,37.12336831809809,379.8373740916225,8.0,659
474500,26.060480297548388,20.950437807779096,47.010918105327484,279.9731660353066,8.0,660
475000,24.074338155409624,18.543150968855276,42.6174891242649,247.8031596596702,8.0,660
475500,8.957790873000796,15.291556683419902,24.249347556420698,204.35017050936105,8.0,661
476000,6.103082534282561,11.198526109654438,17.301608643936998,149.65256757951073,8.0,661
476500,7.976536870309917,21.389070744155415,29.365607614465333,285.83487895278284,8.0,661
477000,23.631623161012723,13.548979168393725,37.18060232940645,181.06307033417218,8.0,662
477500,24.17701009243395,19.50634706849516,43.683357160929106,260.6749222454099,8.0,662
478000,15.81865624348726,18.029429752203956,33.848085995691214,240.9379973749959,8.0,663
478500,26.106570338172325,24.22818690056079,50.33475723873312,323.7756774384191,8.0,663
479000,20.75102009495846,27.01289127524469,47.76391137020315,360.989338909643,8.0,664
479500,10.543949689453068,10.457199310043732,21.0011489994968,139.74577646334777,8.0,664
480000,12.393874608448003,14.622798202475199,27.016672810923204,195.41315301402597,8.0,663
480500,6.823766361715898,24.545851371476246,31.369617733192143,328.02081677513064,8.0,664
481000,16.80437132450069,13.83048981114767,30.634861135648357,184.825064553462,8.0,664
481500,7.308966218210429,33.23170671328356,40.54067293149399,444.09506983286485,8.0,665
482000,8.937996429021435,16.438404354749785,25.37640078377122,219.67617832115118,8.0,665
482500,9.322890349889109,32.89522858735482,42.21811893724393,439.59851242999684,8.0,665
483000,13.490566559570539,17.72730300728163,31.21786956685217,236.90049791575132,8.0,666
483500,13.393411739657207,27.831070490093545,41.22448222975075,371.92315457818523,8.0,666
484000,11.252353601168418,23.248312253589518,34.50066585475793,310.6810295008753,8.0,665
484500,9.74621291142172,10.699934031014534,20.446146942436254,142.9895849679919,8.0,666
485000,15.594734119311388,23.527393660903023,39.12212778021441,314.4105604015679,8.0,666
485500,10.242666201911742,26.944449675530876,37.18711587744262,360.0747130895906,8.0,666
486000,9.876066246889003,14.311947181137686,24.18801342802669,191.25906585805936,8.0,666
486500,4.997539321851517,21.120753286310713,26.11829260816223,282.24919311344286,8.0,666
487000,16.951757735002545,34.69289819859774,51.64465593360028,463.6218410669888,8.0,667
487500,23.512332276921875,16.74760625780206,40.259938534723936,223.80822732823896,8.0,666
488000,18.42042467021512,22.895840316717113,41.31626498693223,305.9707372859736,8.0,667
488500,16.840185801353865,15.130052895930701,31.970238697284564,202.19189930162256,8.0,667
489000,3.5778514730227786,23.702955809876332,27.28080728289911,316.7567018586103,8.0,667
489500,12.190064761840791,14.76470737107653,26.95477213291732,197.3095696706746,8.0,667
490000,2.380561987034253,23.071880359738522,25.452442346772774,308.32326512553,8.0,668
490500,4.384560847460145,38.11902818565648,42.503589033116626,509.4072546476621,8.0,668
491000,15.228914026379432,24.89304872091812,40.12196274729755,332.6606215397936,8.0,669
491500,29.491643243825408,14.452663833251782,43.94430707707719,193.13954620733608,8.0,668
492000,8.884049349736088,28.735693895491533,37.619743245227625,384.01217539973936,8.0,668
492500,21.57006648416296,25.7288073467661,47.29887383092906,343.8293613373502,8.0,669
493000,18.08737227844873,14.720633698033703,32.808005976482434,196.72058695375858,8.0,669
493500,2.772895445142294,17.11717398626552,19.890069431407813,228.74698077824902,8.0,669
494000,8.355354121264375,19.620661350382218,27.97601547164659,262.20257201180704,8.0,669
494500,8.210357329952645,12.577468879461671,20.787826209414316,168.0802002899391,8.0,669
495000,5.570717107769526,37.758477546968656,43.32919465473818,504.589001933535,8.0,670
