#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-38158.60591744704,7368.662350287297,-30789.943567159746,294.5318625402865,40.97094137808379,0
10000,-38834.91254758436,7736.658105843394,-31098.254441740966,309.2409739282756,36.187468018757166,1.15e+03
15000,-39488.772605418606,7485.589837613919,-32003.182767804687,299.2055562159268,31.273009012907092,1.14e+03
20000,-40052.81306742184,7379.030201802113,-32673.782865619727,294.94627461021685,30.321306843007527,1.13e+03
25000,-40012.209230246546,7520.371521275075,-32491.83770897147,300.5958104553014,30.90308875608226,1.12e+03
30000,-40143.67632032564,7649.7465808852885,-32493.929739440355,305.76704445434206,30.364119227191168,1.12e+03
35000,-40280.39676942173,7400.189757368762,-32880.20701205297,295.79204050574964,30.300900513487328,1.12e+03
40000,-40061.25437471038,7518.856369435754,-32542.398005274623,300.53524851446974,31.19733829840103,1.12e+03
45000,-39450.22731834205,7570.989083020205,-31879.23823532184,302.6190385568658,30.855934624777934,1.12e+03
50000,-40196.21241243556,7378.339376527826,-32817.87303590774,294.91866172132967,30.486206966580884,1.11e+03
55000,-40079.88946024561,7241.427914497682,-32838.46154574793,289.44619114282904,30.811030420831596,1.11e+03
60000,-40144.15472031498,7371.025386829811,-32773.12933348517,294.62631517239697,30.569380228545867,1.11e+03
65000,-39907.4954448748,7438.578338932447,-32468.917105942357,297.3264656009355,30.614868571621972,1.11e+03
70000,-40034.333624173305,7487.052302067863,-32547.281322105442,299.2640121960005,30.344139951389245,1.11e+03
75000,-39749.547241908236,7224.947120956701,-32524.600120951534,288.78743944720037,30.554359033443525,1.11e+03
80000,-39978.053786548815,7336.651050144511,-32641.402736404303,293.2523429470155,30.803261853210618,1.11e+03
85000,-40276.33199457248,7385.266147102313,-32891.06584747016,295.19553078408615,30.328466717739815,1.11e+03
90000,-39760.58590987034,7602.053362768608,-32158.532547101728,303.86070491879553,30.888233839490116,1.11e+03
95000,-39742.93852864814,7297.806273915779,-32445.13225473236,291.6996833530849,30.721889933491866,1.11e+03
100000,-39869.82851588144,7386.839141162016,-32482.989374719422,295.2584047289278,30.373952877973068,1.11e+03
