#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
950500,-40297.43973916012,7408.583385736942,-32888.85635342318,296.12754115420245,30.012412029617366,0
951000,-40481.12310362916,7576.906435419286,-32904.21666820987,302.8555602945379,29.83393010463656,776
951500,-40437.74052991136,7341.217156920494,-33096.523372990865,293.4348542183097,29.83393010463656,775
952000,-39931.68383856167,7255.520560146241,-32676.16327841543,290.0094864837845,30.021449413543937,774
952500,-40132.44007095389,7332.074418290654,-32800.36565266323,293.0694109791767,30.266808543293934,775
953000,-40089.890712020395,7554.647539774918,-32535.24317224548,301.9658528170376,30.042665217757495,774
953500,-40290.361057421105,7685.359065255992,-32605.00199216511,307.19050652286546,30.021025686203604,773
954000,-40153.830614557926,7651.002255597091,-32502.828358960836,305.81723486801974,30.09201104197553,773
954500,-40046.78698528765,7288.66397580969,-32758.123009477957,291.3342577220706,30.267059972128745,772
955000,-40205.514694366575,7490.452363733787,-32715.062330632787,299.39991562699134,30.177536057908842,772
955500,-40492.66340778125,7571.213963694469,-32921.44944408678,302.6280272336014,30.127168860866835,755
956000,-40129.05163897242,7452.659112453319,-32676.392526519103,297.88928640259,30.13303909296349,757
956500,-39973.91198399803,7617.595048231978,-32356.316935766048,304.481919645287,30.58288837121293,758
957000,-39880.337016161386,7479.364962747011,-32400.972053414374,298.956742536934,30.95157956082647,760
957500,-39924.94622905707,7434.931814013568,-32490.014415043497,297.18071081871034,31.03192634984881,761
958000,-39714.39034287614,7383.258944202643,-32331.131398673497,295.1153011331084,30.879846719295127,762
958500,-40378.02195243625,7493.715451857589,-32884.306500578656,299.5303441060081,30.654239374212782,763
959000,-40130.726506851206,7530.816996216441,-32599.909510634767,301.0133252013093,30.29468053752115,760
959500,-39802.52171610002,7446.05608108614,-32356.46563501388,297.62535747837876,30.660203889902643,760
960000,-39887.620943304384,7555.84855906066,-32331.772384243726,302.0138586056543,31.010062138535446,761
960500,-40077.667026724754,7419.564548917117,-32658.10247780764,296.56646782644845,30.6545714492106,762
961000,-40031.00188953144,7468.442112911083,-32562.559776620357,298.52014669992997,30.678652531711762,763
961500,-40141.6069420882,7432.943481924143,-32708.663460164054,297.10123545048094,30.436634101538786,763
962000,-39825.46977808312,7501.430944669522,-32324.038833413597,299.8387390846743,31.052281727269325,764
962500,-39894.39456310932,7425.688882798744,-32468.70568031058,296.8112627945479,31.067320785532086,765
963000,-40290.07797624744,7517.586964276467,-32772.491011970975,300.48450928282773,31.131499979515507,765
963500,-39840.084846888756,7353.727951784715,-32486.356895104043,293.9349216034131,31.340811901219364,764
964000,-39855.716305012524,7381.256622920447,-32474.459682092078,295.0352666046398,31.147057726925887,765
964500,-39640.96135396298,7230.974869466254,-32409.986484496723,289.0283738137172,30.892391600751452,765
